YEAR,country,ccode,region,rcode,sum,NUM,unga_imp,unga_impcons,ecoaid,milaid,OFDI,gdp,GdpPc,population,geo_distance,xxtot,mmtot,dist_CHINA,timepaytax,unemp,inflation,exchrate,legal,property,corru,tradefree,invfree,finfree,ecoaidpc,milaidpc,diaspora,chineseXunga_imp,chineseXmilaidpc,chineseXecoaidpc,agnu_china,bit,diplo,usainvXunga_imp,usainvXecoaidpc,usainvXmilaidpc,dummy_unga_china,SOEs,POEs,seasia,soe_dummy,ungaXsoe,ecoaidXsoe,milaidXsoe,sumrel,ofdirel,usainvXdiaspora,usainvXsoe,usainv,unga_impstd,ecoaidstd,milaidstd,ofdistd,ecoaidpcln,milaidpcln,indexXdiaspora,index2,s,ssoes,spoes,sel,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,dummy7,dummy8,region1,region2,region3,region4,region5,region6,region7,region8,trade,country1,comlang,dist,distw,distance,tradew,tradewstd,distancestd,comlangstd,pc1,pc2,pc3,INDEX,min_INDEX,max_INDEX,index,_est_soe,_est_poe,_est_one,_est_two,_est_three,_est_four,_est_five,_est_six,_est_seven,_est_eight,p1,_est_HECK_SOES,phi1,capphi1,invmills_SOEs,_est_CORRECTED_SOES,p2,_est_HECK_POES,phi2,capphi2,invmills_POEs,_est_CORRECTED_POES,_est_eleven,_est_twelve,_est_nine,_est_ten,strategicpartn,taiwan,chinese_immigrants,log_chinese_immigrants,dup,log_agnu_china,log_unga_imp,log_dist_china,log_gdp,log_exchrate,migra_dummy,log_exports,log_imports,exports,imports,natres,russia_unga,france_unga,uk_unga,assist_oecd,log_natres,taiwan_fdi,log_russia_unga
2009,Cuba,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,.0076684011,.13391584,.754816,.86028999,.53675997,.50735003,115070000,13.534229,0,-.15048575
2010,Cuba,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,.0076684011,.13391584,.959966,.87120998,.56818002,.52272999,129130000,13.774653,0,-.13787225
2005,Dominican Republic,42,North America,2,0,0,50,77.699997,32,3334125,.815,33.969724872,3636,9.343362000000001,2508.9551,.70299077,.54795688,13500.16,232,18,2.6945584,30.510637,3,30,33,64.800003,50,30,3.4248915,.35684425,0,0,0,0,.89393902,0,0,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.087227702,0,0,872.27704,.5661599,-.19547494,-.13831119,-.15747151,1.2310698,-1.0304558,0,.17974387,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4714977872.5,DOM,1,2508.9548,3310.566652255916,.0003020631,138799408,1.544983,2.4893117,1.2437606,2.8361294,.81838709,.35120031,1.5199401,-.98707879,3.8155789,5.2200656,0,0,0,0,0,0,0,0,0,0,-1.8712046,1,.069277033,.030658362,2.2596457,0,-.96499091,0,.25043842,.16727468,1.4971687,0,0,0,0,0,0,0,0,-15.18,0,-.11211772,3.9120231,9.510457,3.5254698,3.4180753,0,-7.9671082,-10.029117,,,,,,,,,0,
2006,Dominican Republic,42,North America,2,0,0,45.5,72.199997,40,4516000,.789,37.594686814,3966,9.479269,2508.9551,.66640204,.53452796,13500.16,286,16.4,5.3996558,33.253693,3,30,29,67.400002,50,50,4.2197347,.47640803,0,0,0,0,.90625,0,0,0,0,0,1,0,0,0,0,0,0,0,.000099999997,.083234265,0,0,832.34265,.37124306,-.15405957,-.13380118,-.15980554,1.4397722,-.74148059,0,.1754231,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4998500762.5,DOM,1,2508.9548,3310.566652255916,.0003020631,132957640,1.4451648,2.4893117,1.2437606,2.7485404,.84590751,.20553778,1.4597161,-.98707879,3.8155789,5.0946684,0,0,0,0,0,0,0,0,0,0,-1.3061669,1,.16999699,.095747903,1.7754644,1,-2.4032435,0,.022220761,.0081251804,2.7348022,1,0,0,0,0,0,0,0,-15.18,0,-.098440073,3.8177123,9.510457,3.6268628,3.5041659,0,-7.7879868,-9.033618,,,,,,,,,0,
2007,Dominican Republic,42,North America,2,0,0,11.1,60,50,2903000,.712,40.780695459,4241,9.615015,2508.9551,.45571315,.5073275,13500.16,286,15.7,5.7008572,33.311863,3,30,30,73.800003,50,40,5.2002001,.3019236,0,0,0,0,.930556,0,0,0,0,0,1,0,0,0,0,0,0,0,.000099999997,.074050844,0,0,740.50848,-1.1187876,-.10297234,-.14038284,-.16517292,1.6486971,-1.1975813,0,.05007007,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5209337092,DOM,1,2508.9548,3310.566652255916,.0003020631,127740272,1.3560156,2.4893117,1.2437606,2.512722,1.1229866,-.99100083,1.1781964,-.98707879,3.8155789,4.5084939,0,0,0,0,0,0,0,0,0,0,-1.0927172,1,.21959861,.13725901,1.5998849,1,-1.978471,0,.05635342,.023937795,2.3541608,1,0,0,0,0,0,0,0,-15.18,0,-.071973026,2.406945,9.510457,3.7082088,3.5059135,0,-7.7729278,-8.9316406,,,,,,,,,0,
2008,Dominican Republic,42,North America,2,0,0,19.5,75.900002,52,2504000,.8060000000000001,42.923985853,4402,9.750195,2508.9551,.48914248,.46821982,13500.16,480,14.2,9.767642,34.8661,3,30,28,73,50,40,5.3332267,.25681537,0,0,0,0,.86666697,0,0,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.082665011,0,0,826.65015,-.75494295,-.096040979,-.14208435,-.16013825,1.6739564,-1.3593979,0,.07861723,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5340756864.5,DOM,1,2508.9548,3310.566652255916,.0003020631,124423600,1.2993436,2.4893117,1.2437606,2.5260565,1.0359848,-.69058114,1.2241472,-.98707879,3.8155789,4.6041718,0,0,0,0,0,0,0,0,0,0,-1.0632675,1,.22668193,.14383033,1.576037,1,-1.3725368,0,.15553769,.084948197,1.8309711,1,0,0,0,0,0,0,0,-15.18,0,-.14310049,2.9704144,9.510457,3.7594309,3.5515151,0,-7.6846385,-8.9543962,,,,,,,,,0,
2009,Dominican Republic,42,North America,2,0,0,31.9,81.300003,70,2228000,1.193,44.4066037,4493,9.884264999999999,2508.9551,.61351156,.42230004,13500.16,324,14.9,2.9534006,36.114052,3,30,30,73,50,40,7.0819631,.22540876,0,0,0,0,.85294098,0,0,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.12069689,0,0,1206.9689,-.21783888,-.0049229339,-.14326902,-.13790996,1.9575511,-1.4898398,0,.16773048,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4345226390,DOM,1,2508.9548,3310.566652255916,.0003020631,97850904,.84529579,2.4893117,1.2437606,2.3350594,.8199206,-.20636888,1.1854149,-.98707879,3.8155789,4.5235238,0,0,0,0,0,0,0,0,0,0,-.56328851,1,.34041646,.28661922,1.1876959,1,-1.3664719,0,.15683496,.085895449,1.8258821,1,0,0,0,0,0,0,0,-15.18,0,-.15906493,3.462606,9.510457,3.7933881,3.5866821,0,-7.6156893,-9.2350636,,,,,,,,,0,
2010,Dominican Republic,42,North America,2,0,0,36.4,83.400002,88,7939593,1.432,47.848657632,4777,10.016797,2508.9551,.57707077,.39022103,13500.16,324,12.4,5.141808,37.30658,3,30,30,80,55,40,8.785243,.79262793,0,0,0,0,.859155,0,0,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.14295986,0,0,1429.5986,-.022921981,.083826602,-.12187317,-.12489805,2.1730733,-.23240136,0,.24804887,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5168645439,DOM,1,2508.9548,3310.566652255916,.0003020631,108020696,1.019067,2.4893117,1.2437606,2.4211037,.91287917,-.046121109,1.2916561,-.98707879,3.8155789,4.7447371,0,0,0,0,0,0,0,0,0,0,-.49611709,1,.35274684,.30990592,1.1382385,1,-1.2669579,0,.17879245,.10258517,1.7428683,1,0,0,0,0,0,0,0,-15.18,0,-.15180594,3.5945687,9.510457,3.8680429,3.6191697,0,-7.4643159,-9.2759047,,,,,,,,,0,
2011,Dominican Republic,42,North America,2,0,0,45.6,83.800003,60,8532000,1.216,49.993672106,4927,10.147598,2508.9551,.54492432,.41612181,13500.16,324,14.7,6.6499372,38.23156,3,30,30,79.800003,55,40,5.9127293,.84079015,0,0,0,0,.86309499,0,0,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.11983132,0,0,1198.3132,.3755745,-.065845951,-.12005646,-.13841586,1.7771075,-.17341317,0,.22760096,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5825284975.5,DOM,1,2508.9548,3310.566652255916,.0003020631,116520448,1.1643023,2.4893117,1.2437606,2.5810294,.80245453,.24776156,1.3867297,-.98707879,3.8155789,4.9426975,0,0,0,0,0,0,0,0,0,0,-.35963792,1,.37395933,.35955897,1.04005,1,-1.1274366,0,.21129601,.12977895,1.6281223,1,0,0,0,0,0,0,0,-15.18,0,-.14723054,3.8199077,9.510457,3.9118965,3.6436613,0,-7.5819139,-8.6930599,,,,,,,,,0,
2012,Dominican Republic,42,North America,2,0,0,36.4,80.900002,58,8174900,1.244,51.937267398,5054,10.276621,2508.9551,.56036198,.38571423,13500.16,324,,5.2273474,39.335655,3,30,30,80.099998,55,40,5.6438785,.7954852,0,0,0,0,.94078898,0,0,0,0,0,1,0,0,0,0,0,0,0,.000099999997,.12105146,0,0,1210.5146,-.022921981,-.079854444,-.12176539,-.13770272,1.7305715,-.22880304,0,.16910033,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5789025931.5,DOM,1,2508.9548,3310.566652255916,.0003020631,111461888,1.0778667,2.4893117,1.2437606,2.4936936,.83704633,-.069354177,1.2881966,-.98707879,3.8155789,4.737534,0,0,0,0,0,0,0,0,0,0,-.35412011,1,.37469643,.36162445,1.036148,1,-.70884448,0,.31031457,.2392105,1.2972448,1,0,0,0,0,0,0,0,-15.18,0,-.061036412,3.5945687,9.510457,3.9500365,3.6721313,0,-7.5955033,-8.3982372,,,,,,,,,0,
2005,Trinidad-Tobago,52,latin America,1,0,0,16.7,65.800003,0,116000,2.219,16.088526686,12405,1.296933,3569.325,.58584827,.2915872,14403.7,210,8,17.290958,6.2995582,9,70,46,79.199997,70,70,0,.089441784,0,0,,0,.84042603,1,5,0,,0,0,0,0,0,0,0,,0,.000099999997,1.7109597,0,0,17109.598,-.87622452,-.37392917,-.14839779,.79154229,,-2.4141674,0,.10991807,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4890824042.5,TTO,1,3569.325,4540.549488878823,.00022023766,303994528,4.3676729,1.3554341,1.2437606,3.7343721,1.8639401,-1.0838696,1.9137417,-.98707879,3.8155789,6.0400319,0,0,0,0,0,0,0,0,0,0,-1.9446377,1,.060220268,.025909303,2.3242719,0,-1.5314881,0,.1234812,.062824406,1.9654973,0,0,0,1,1,0,0,0,-15.18,0,-.17384633,2.8154087,9.5752401,2.7781065,1.8404795,0,-8.9341488,-10.473756,,,,,,,,,0,
2006,Trinidad-Tobago,52,latin America,1,0,0,0,57.200001,0,108000,0,18.299673444,14039,1.303478,3569.325,.58084822,.27599475,14403.7,210,6.3000002,1.2502197,6.3122835,9,70,42,75.199997,70,70,0,.082855247,0,0,,0,.88524598,1,5,0,,0,0,0,0,0,0,0,,0,.000099999997,0,0,0,0,-1.5995826,-.37392917,-.14864624,-.20845301,,-2.4906602,0,3.3466492e-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5218464840.5,TTO,1,3569.325,4540.549488878823,.00022023766,285167104,4.0459685,1.3554341,1.2437606,3.26598,1.8624741,-1.9042082,1.5285598,-.98707879,3.8155789,5.2380133,1,1,1,1,0,0,0,0,1,1,-1.5421971,1,.12146556,.06151285,1.9746373,1,-3.1668186,1,.0026497007,.00077058206,3.4385705,1,1,1,1,1,0,0,0,-15.18,0,-.12188973,,9.5752401,2.9068832,1.8424975,0,-8.6795006,-11.258267,,,,,,,,,0,
2007,Trinidad-Tobago,52,latin America,1,0,0,12.5,63.200001,1.5,158000,3.916,19.16961575,14633,1.31004,3569.325,.57737017,.25115186,14403.7,210,5.5,12.752611,6.3280334,9,70,38,79,70,70,1.1450032,.12060701,0,0,0,0,.92142898,1,5,12.5,.13540743,11.700293,1,0,0,0,0,0,0,0,.000099999997,2.9892218,0,0,29892.219,-1.058147,-.31426871,-.14722221,1.5386411,.13540743,-2.1152179,0,.2550368,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5560658292,TTO,1,3569.325,4540.549488878823,.00022023766,290076672,4.1298585,1.3554341,1.2437606,3.7352786,1.8619831,-1.0121388,1.9305358,-.98707879,3.8155789,6.0750003,1,1,1,1,1,1,1,1,1,1,-1.2719674,1,.17765903,.10169235,1.7470247,1,-2.6975451,1,.010490206,.0034926415,3.0035164,1,1,1,1,1,0,0,0,-15.18,0,-.081829578,2.5257287,9.5752401,2.9533265,1.8449895,0,-8.4405098,-10.748603,,,,,,,,,0,
2008,Trinidad-Tobago,52,latin America,1,0,0,18.4,81.699997,1,226000,5.109,19.8199502,15056,1.316449,3569.325,.46011612,.24015512,14403.7,210,4.5999999,23.790981,6.2894335,9,65,32,79,70,70,.75961924,.17167395,0,0,0,0,.930556,1,5,18.4,-.27493799,12.053352,1,0,0,0,0,0,0,0,.000099999997,3.8808947,0,0,38808.949,-.8025893,-.33434916,-.14529593,2.0597925,-.27493799,-1.7621583,0,.42318901,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5861249294,TTO,1,3569.325,4540.549488878823,.00022023766,295724736,4.226367,1.3554341,1.2437606,3.9333663,1.8487099,-.67877936,2.0852158,-.98707879,3.8155789,6.3970714,1,1,1,1,1,1,1,1,1,1,-1.1039355,1,.21690945,.13481057,1.6089945,1,-1.9224931,1,.062854774,.027271871,2.3047473,1,1,1,1,1,0,0,0,-15.18,0,-.071973026,2.9123507,9.5752401,2.9866891,1.838871,0,-8.3167906,-10.756742,,,,,,,,,0,
2009,Trinidad-Tobago,52,latin America,1,320,1,30.3,81.5,1,231000,5.21,18.949495988,14328,1.322518,3569.325,.54368514,.31044981,14403.7,210,,-27.631769,6.3249083,9,60,34,79.800003,70,70,.75613338,.17466681,0,0,0,0,.92647099,1,5,30.299999,-.2795375,12.070636,1,320,0,0,1,30.299999,-.2795375,12.070636,241.96268,3.9394548,0,.016281249,.016281249,-.28714266,-.3345308,-.14518304,-.20845206,-.2795375,-1.7448751,0,.045525495,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3806448555.5,TTO,1,3569.325,4540.549488878823,.00022023766,200873344,2.6056406,1.3554341,1.2437606,2.6654692,1.1059902,-.7250216,1.2971804,-.98707879,3.8155789,4.7562399,1,1,1,1,1,1,1,1,1,1,-1.0696626,1,.2251412,.14238562,1.5812074,1,-2.2230272,1,.033713277,.013106982,2.5721617,1,1,1,1,1,0,0,0,-15.18,0,-.076372541,3.4111476,9.5752401,2.9417772,1.8444955,0,-8.501812,-9.1833086,,,,,,,,,0,
